scenario_id,conflict_bin,borda_winner_id,util_winner_id,maximin_winner_id,tie_size,borda_gap,dissimilarity,pareto_set_size,borda_winner_is_pareto,is_divergent,is_high_diversity,is_pareto_ge2,is_single_winner,is_monotonicity
1,medium,3,3,4,1,1.000000,0.388889,4,1,1,0,1,0,0,1
2,medium,3,4,4,2,1.000000,0.416667,4,1,1,0,1,0,0,0
3,low,4,4,4,1,3.000000,0.472222,4,1,0,0,1,1,1,1
4,low,4,4,4,1,3.000000,0.444444,4,1,0,0,1,1,1,1
6,high,3,4,3,1,1.000000,0.527778,3,1,1,0,1,0,0,1
7,low,4,4,4,1,3.000000,0.472222,4,1,0,0,1,1,1,1
8,medium,4,4,3,1,2.000000,0.500000,4,1,1,0,1,0,0,1
10,medium,2,2,2,1,2.000000,0.388889,4,1,0,0,1,0,0,1
11,high,1,1,4,2,1.000000,0.388889,4,1,1,0,1,1,1,0
13,low,3,3,3,1,2.000000,0.416667,4,1,0,0,1,0,0,1
15,low,4,4,4,1,3.000000,0.444444,4,1,0,0,1,1,1,1
16,low,4,4,3,1,2.000000,0.472222,4,1,1,0,1,1,1,1
17,medium,3,3,4,1,2.000000,0.416667,4,1,1,0,1,0,0,1
20,low,4,4,4,1,2.000000,0.472222,4,1,0,0,1,1,1,1
21,medium,3,3,3,1,2.000000,0.583333,3,1,0,0,1,0,0,1
23,low,4,4,4,1,2.000000,0.500000,4,1,0,0,1,0,0,1
24,medium,4,4,3,1,1.000000,0.583333,3,1,1,0,1,0,0,1
25,high,2,2,2,1,1.000000,0.444444,4,1,0,0,1,0,0,1
27,low,4,4,4,1,1.000000,0.361111,4,1,0,0,1,1,1,1
28,low,4,4,4,1,1.000000,0.388889,4,1,0,0,1,1,1,1
31,low,4,4,4,1,2.000000,0.472222,4,1,0,0,1,1,1,1
33,medium,4,4,4,1,1.000000,0.416667,4,1,0,0,1,1,1,1
34,low,4,4,4,1,2.000000,0.444444,4,1,0,0,1,1,1,1
35,low,4,4,4,1,4.000000,0.555556,3,1,0,0,1,1,1,1
38,high,4,4,4,1,1.000000,0.555556,3,1,0,0,1,0,0,1
39,low,4,4,4,1,5.000000,0.555556,3,1,0,0,1,1,1,1
40,low,4,4,4,1,4.000000,0.583333,3,1,0,0,1,1,1,1
41,high,2,2,2,1,2.000000,0.444444,4,1,0,0,1,0,0,1
42,high,2,2,2,1,2.000000,0.416667,4,1,0,0,1,1,1,1
43,medium,4,4,4,1,1.000000,0.472222,3,1,0,0,1,1,1,1
44,low,4,4,4,1,2.000000,0.444444,3,1,0,0,1,1,1,1
46,low,4,4,4,1,1.000000,0.472222,4,1,0,0,1,1,1,1
47,low,4,4,4,1,5.000000,0.527778,3,1,0,0,1,1,1,1
48,low,4,4,4,1,4.000000,0.555556,3,1,0,0,1,1,1,1
50,medium,3,4,3,2,2.000000,0.388889,4,1,1,0,1,0,0,0
53,low,3,3,3,1,2.000000,0.416667,4,1,0,0,1,0,0,1
54,high,3,3,3,1,1.000000,0.444444,4,1,0,0,1,0,0,1
57,medium,1,1,2,2,1.000000,0.388889,4,1,1,0,1,1,1,0
61,low,3,3,3,1,2.000000,0.388889,4,1,0,0,1,1,1,1
64,medium,4,4,3,1,2.000000,0.500000,4,1,1,0,1,1,1,1
65,high,2,2,1,1,1.000000,0.472222,4,1,1,0,1,0,0,1
72,low,2,3,3,1,1.000000,0.361111,4,1,1,0,1,0,0,1
78,medium,2,2,3,1,1.000000,0.416667,4,1,1,0,1,0,0,1
81,high,2,2,1,1,1.000000,0.444444,4,1,1,0,1,0,0,1
84,low,1,1,4,4,0.000000,0.333333,4,1,1,0,1,1,1,0
85,high,2,3,3,1,1.000000,0.555556,3,1,1,0,1,0,0,1
86,high,2,3,3,1,1.000000,0.527778,3,1,1,0,1,0,0,1
88,low,2,3,3,2,1.000000,0.388889,4,1,1,0,1,0,0,0
93,high,2,3,3,2,3.000000,0.472222,4,1,1,0,1,0,0,0
96,low,3,3,3,1,1.000000,0.361111,4,1,0,0,1,1,1,1
101,high,2,2,3,1,3.000000,0.500000,3,1,1,0,1,0,0,1
102,medium,2,2,3,1,3.000000,0.472222,3,1,1,0,1,1,1,1
103,low,2,4,4,2,1.000000,0.416667,4,1,1,0,1,0,0,0
105,high,2,2,2,1,2.000000,0.638889,3,1,0,0,1,0,0,1
107,high,1,1,1,1,1.000000,0.555556,3,1,0,0,1,1,1,1
108,high,1,1,4,2,3.000000,0.472222,4,1,1,0,1,1,1,0
109,high,2,2,3,1,2.000000,0.416667,4,1,1,0,1,0,0,1
110,medium,2,2,3,1,2.000000,0.388889,4,1,1,0,1,0,0,1
112,low,4,4,3,1,1.000000,0.361111,4,1,1,0,1,1,1,1
113,high,1,1,1,1,1.000000,0.444444,4,1,0,0,1,1,1,1
117,high,2,2,3,1,1.000000,0.444444,4,1,1,0,1,0,0,1
118,high,2,2,3,1,1.000000,0.416667,4,1,1,0,1,0,0,1
119,low,1,1,3,1,1.000000,0.361111,4,1,1,0,1,1,1,1
121,high,1,1,2,2,4.000000,0.638889,3,1,1,0,1,1,1,0
122,high,2,2,2,1,1.000000,0.555556,3,1,0,0,1,0,0,1
124,medium,1,1,1,1,2.000000,0.472222,4,1,0,0,1,1,1,1
