scenario_id,conflict_bin,borda_winner_id,util_winner_id,maximin_winner_id,tie_size,borda_gap,dissimilarity,pareto_set_size,borda_winner_is_pareto,is_divergent,is_high_diversity,is_pareto_ge2,is_single_winner,is_monotonicity
1,medium,3,3,4,1,1.000000,0.388889,4,1,1,0,1,0,0,1
2,medium,3,4,4,2,1.000000,0.416667,4,1,1,0,1,0,0,0
6,high,3,4,3,1,1.000000,0.527778,3,1,1,0,1,0,0,1
8,medium,4,4,3,1,2.000000,0.500000,4,1,1,0,1,0,0,1
11,high,1,1,4,2,1.000000,0.388889,4,1,1,0,1,1,1,0
16,low,4,4,3,1,2.000000,0.472222,4,1,1,0,1,1,1,1
17,medium,3,3,4,1,2.000000,0.416667,4,1,1,0,1,0,0,1
24,medium,4,4,3,1,1.000000,0.583333,3,1,1,0,1,0,0,1
50,medium,3,4,3,2,2.000000,0.388889,4,1,1,0,1,0,0,0
57,medium,1,1,2,2,1.000000,0.388889,4,1,1,0,1,1,1,0
64,medium,4,4,3,1,2.000000,0.500000,4,1,1,0,1,1,1,1
65,high,2,2,1,1,1.000000,0.472222,4,1,1,0,1,0,0,1
72,low,2,3,3,1,1.000000,0.361111,4,1,1,0,1,0,0,1
78,medium,2,2,3,1,1.000000,0.416667,4,1,1,0,1,0,0,1
81,high,2,2,1,1,1.000000,0.444444,4,1,1,0,1,0,0,1
84,low,1,1,4,4,0.000000,0.333333,4,1,1,0,1,1,1,0
101,high,2,2,3,1,3.000000,0.500000,3,1,1,0,1,0,0,1
102,medium,2,2,3,1,3.000000,0.472222,3,1,1,0,1,1,1,1
103,low,2,4,4,2,1.000000,0.416667,4,1,1,0,1,0,0,0
108,high,1,1,4,2,3.000000,0.472222,4,1,1,0,1,1,1,0
109,high,2,2,3,1,2.000000,0.416667,4,1,1,0,1,0,0,1
110,medium,2,2,3,1,2.000000,0.388889,4,1,1,0,1,0,0,1
112,low,4,4,3,1,1.000000,0.361111,4,1,1,0,1,1,1,1
117,high,2,2,3,1,1.000000,0.444444,4,1,1,0,1,0,0,1
118,high,2,2,3,1,1.000000,0.416667,4,1,1,0,1,0,0,1
119,low,1,1,3,1,1.000000,0.361111,4,1,1,0,1,1,1,1
121,high,1,1,2,2,4.000000,0.638889,3,1,1,0,1,1,1,0
125,high,1,1,3,3,4.000000,0.416667,4,1,1,0,1,1,1,0
126,high,2,2,3,2,1.000000,0.388889,4,1,1,0,1,0,0,0
128,medium,1,1,3,1,1.000000,0.361111,4,1,1,0,1,1,1,1
130,high,1,2,1,2,1.000000,0.416667,4,1,1,0,1,1,1,0
134,high,2,2,3,1,1.000000,0.416667,4,1,1,0,1,0,0,1
135,low,1,1,3,1,1.000000,0.361111,4,1,1,0,1,1,1,1
136,medium,1,1,3,4,0.000000,0.333333,4,1,1,0,1,1,1,0
141,high,1,1,3,3,4.000000,0.416667,4,1,1,0,1,1,1,0
142,high,2,2,3,2,1.000000,0.388889,4,1,1,0,1,0,0,0
143,medium,1,1,3,1,2.000000,0.388889,4,1,1,0,1,1,1,1
148,low,1,1,3,1,1.000000,0.361111,4,1,1,0,1,1,1,1
149,high,2,3,3,2,3.000000,0.472222,4,1,1,0,1,0,0,0
150,high,2,3,3,2,4.000000,0.444444,4,1,1,0,1,0,0,0
157,high,3,2,3,1,1.000000,0.444444,4,1,1,0,1,1,1,1
158,high,3,2,3,1,1.000000,0.416667,4,1,1,0,1,1,1,1
162,high,1,2,1,2,2.000000,0.388889,4,1,1,0,1,1,1,0
164,medium,1,1,3,1,1.000000,0.416667,4,1,1,0,1,1,1,1
165,high,2,2,3,1,2.000000,0.416667,4,1,1,0,1,0,0,1
166,high,2,2,3,1,2.000000,0.388889,4,1,1,0,1,1,1,1
168,medium,4,4,3,1,1.000000,0.361111,4,1,1,0,1,0,0,1
174,high,2,2,3,1,1.000000,0.361111,4,1,1,0,1,0,0,1
175,medium,1,1,3,1,1.000000,0.416667,4,1,1,0,1,1,1,1
180,low,1,1,3,1,3.000000,0.472222,3,1,1,0,1,1,1,1
181,high,1,1,3,3,4.000000,0.416667,4,1,1,0,1,1,1,0
182,medium,2,2,3,2,1.000000,0.388889,4,1,1,0,1,0,0,0
183,low,1,1,3,1,2.000000,0.388889,4,1,1,0,1,1,1,1
184,low,1,1,3,1,1.000000,0.361111,4,1,1,0,1,1,1,1
191,low,1,1,3,1,3.000000,0.472222,3,1,1,0,1,1,1,1
193,medium,3,3,1,1,2.000000,0.416667,4,1,1,0,1,0,0,1
194,medium,3,3,1,1,2.000000,0.444444,4,1,1,0,1,0,0,1
195,high,4,4,1,1,2.000000,0.444444,4,1,1,0,1,0,0,1
196,medium,4,3,4,1,1.000000,0.416667,4,1,1,0,1,0,0,1
199,medium,4,3,4,1,1.000000,0.444444,4,1,1,0,1,0,0,1
204,high,1,2,4,4,0.000000,0.333333,4,1,1,0,1,1,1,0
207,medium,4,3,4,1,1.000000,0.416667,4,1,1,0,1,0,0,1
209,medium,3,3,1,1,3.000000,0.444444,4,1,1,0,1,1,1,1
210,medium,3,3,4,1,3.000000,0.472222,4,1,1,0,1,1,1,1
211,medium,4,3,4,1,1.000000,0.416667,4,1,1,0,1,0,0,1
212,medium,3,3,4,2,4.000000,0.444444,4,1,1,0,1,0,0,0
