scenario_id,scenario_code,borda_winner_id,borda_tie_size,borda_winner_set,utilitarian_winner_id,utilitarian_tie_size,utilitarian_winner_set,maximin_winner_id,maximin_tie_size,maximin_winner_set,maximin_ordinal_winner_id,maximin_ordinal_tie_size,maximin_ordinal_winner_set,pareto_optimal_set,pareto_set_size,borda_winner_is_pareto,is_divergent,conflict_level,conflict_score,conflict_kendall_tau_avg,conflict_top_choice_distinct_count,conflict_rules5_entropy
1,r1a1_r2a5_r3a9_r4a13,3,1,3,3,2,3|4,4,1,4,4,1,4,1|2|3|4,4,True,True,medium,0.6111111111111112,0.6111111111111112,3,1.0114042647073518
2,r1a1_r2a5_r3a9_r4a14,3,2,3|4,4,1,4,4,1,4,4,1,4,1|2|3|4,4,True,True,medium,0.5833333333333334,0.5833333333333334,3,0.45056120886630463
3,r1a1_r2a5_r3a9_r4a15,4,1,4,4,1,4,4,1,4,4,1,4,1|2|3|4,4,True,False,medium,0.5277777777777778,0.5277777777777778,2,0.0
4,r1a1_r2a5_r3a9_r4a16,4,1,4,4,1,4,4,1,4,4,1,4,1|2|3|4,4,True,False,medium,0.5555555555555556,0.5555555555555556,2,0.0
5,r1a1_r2a5_r3a10_r4a13,3,1,3,3,1,3,3,1,3,3,1,3,2|3|4,3,True,False,medium,0.5000000000000001,0.5000000000000001,3,0.0
6,r1a1_r2a5_r3a10_r4a14,3,1,3,4,1,4,3,1,3,3,1,3,2|3|4,3,True,True,medium,0.47222222222222227,0.47222222222222227,3,1.0114042647073516
7,r1a1_r2a5_r3a10_r4a15,4,1,4,4,1,4,4,1,4,4,1,4,1|2|3|4,4,True,False,medium,0.5277777777777778,0.5277777777777778,2,0.0
8,r1a1_r2a5_r3a10_r4a16,4,1,4,4,1,4,3,1,3,3,1,3,1|2|3|4,4,True,True,medium,0.5,0.5,2,0.6365141682948128
9,r1a1_r2a5_r3a11_r4a13,2,1,2,2,1,2,2,2,2|4,2,2,2|4,1|2|3|4,4,True,True,medium,0.5833333333333334,0.5833333333333334,4,0.6365141682948128
10,r1a1_r2a5_r3a11_r4a14,2,1,2,2,1,2,2,2,2|4,2,2,2|4,1|2|3|4,4,True,True,medium,0.6111111111111112,0.6111111111111112,4,0.6365141682948128
11,r1a1_r2a5_r3a11_r4a15,1,2,1|4,1,3,1|2|4,4,1,4,4,1,4,1|2|3|4,4,True,True,medium,0.6111111111111112,0.6111111111111112,3,1.0114042647073518
