scenario_id,scenario_code,role_1_archetype_id,role_2_archetype_id,role_3_archetype_id,role_4_archetype_id
1,r1a1_r2a5_r3a9_r4a13,1,5,9,13
2,r1a1_r2a5_r3a9_r4a14,1,5,9,14
3,r1a1_r2a5_r3a9_r4a15,1,5,9,15
4,r1a1_r2a5_r3a9_r4a16,1,5,9,16
5,r1a1_r2a5_r3a10_r4a13,1,5,10,13
6,r1a1_r2a5_r3a10_r4a14,1,5,10,14
7,r1a1_r2a5_r3a10_r4a15,1,5,10,15
8,r1a1_r2a5_r3a10_r4a16,1,5,10,16
9,r1a1_r2a5_r3a11_r4a13,1,5,11,13
10,r1a1_r2a5_r3a11_r4a14,1,5,11,14
11,r1a1_r2a5_r3a11_r4a15,1,5,11,15
12,r1a1_r2a5_r3a11_r4a16,1,5,11,16
13,r1a1_r2a5_r3a12_r4a13,1,5,12,13
14,r1a1_r2a5_r3a12_r4a14,1,5,12,14
15,r1a1_r2a5_r3a12_r4a15,1,5,12,15
16,r1a1_r2a5_r3a12_r4a16,1,5,12,16
17,r1a1_r2a6_r3a9_r4a13,1,6,9,13
18,r1a1_r2a6_r3a9_r4a14,1,6,9,14
19,r1a1_r2a6_r3a9_r4a15,1,6,9,15
20,r1a1_r2a6_r3a9_r4a16,1,6,9,16
21,r1a1_r2a6_r3a10_r4a13,1,6,10,13
22,r1a1_r2a6_r3a10_r4a14,1,6,10,14
23,r1a1_r2a6_r3a10_r4a15,1,6,10,15
24,r1a1_r2a6_r3a10_r4a16,1,6,10,16
25,r1a1_r2a6_r3a11_r4a13,1,6,11,13
26,r1a1_r2a6_r3a11_r4a14,1,6,11,14
27,r1a1_r2a6_r3a11_r4a15,1,6,11,15
28,r1a1_r2a6_r3a11_r4a16,1,6,11,16
29,r1a1_r2a6_r3a12_r4a13,1,6,12,13
30,r1a1_r2a6_r3a12_r4a14,1,6,12,14
31,r1a1_r2a6_r3a12_r4a15,1,6,12,15
32,r1a1_r2a6_r3a12_r4a16,1,6,12,16
33,r1a1_r2a7_r3a9_r4a13,1,7,9,13
34,r1a1_r2a7_r3a9_r4a14,1,7,9,14
35,r1a1_r2a7_r3a9_r4a15,1,7,9,15
36,r1a1_r2a7_r3a9_r4a16,1,7,9,16
37,r1a1_r2a7_r3a10_r4a13,1,7,10,13
38,r1a1_r2a7_r3a10_r4a14,1,7,10,14
39,r1a1_r2a7_r3a10_r4a15,1,7,10,15
40,r1a1_r2a7_r3a10_r4a16,1,7,10,16
41,r1a1_r2a7_r3a11_r4a13,1,7,11,13
42,r1a1_r2a7_r3a11_r4a14,1,7,11,14
43,r1a1_r2a7_r3a11_r4a15,1,7,11,15
44,r1a1_r2a7_r3a11_r4a16,1,7,11,16
45,r1a1_r2a7_r3a12_r4a13,1,7,12,13
46,r1a1_r2a7_r3a12_r4a14,1,7,12,14
47,r1a1_r2a7_r3a12_r4a15,1,7,12,15
48,r1a1_r2a7_r3a12_r4a16,1,7,12,16
49,r1a1_r2a8_r3a9_r4a13,1,8,9,13
50,r1a1_r2a8_r3a9_r4a14,1,8,9,14
51,r1a1_r2a8_r3a9_r4a15,1,8,9,15
52,r1a1_r2a8_r3a9_r4a16,1,8,9,16
53,r1a1_r2a8_r3a10_r4a13,1,8,10,13
54,r1a1_r2a8_r3a10_r4a14,1,8,10,14
55,r1a1_r2a8_r3a10_r4a15,1,8,10,15
56,r1a1_r2a8_r3a10_r4a16,1,8,10,16
57,r1a1_r2a8_r3a11_r4a13,1,8,11,13
58,r1a1_r2a8_r3a11_r4a14,1,8,11,14
59,r1a1_r2a8_r3a11_r4a15,1,8,11,15
60,r1a1_r2a8_r3a11_r4a16,1,8,11,16
61,r1a1_r2a8_r3a12_r4a13,1,8,12,13
62,r1a1_r2a8_r3a12_r4a14,1,8,12,14
63,r1a1_r2a8_r3a12_r4a15,1,8,12,15
64,r1a1_r2a8_r3a12_r4a16,1,8,12,16
65,r1a2_r2a5_r3a9_r4a13,2,5,9,13
66,r1a2_r2a5_r3a9_r4a14,2,5,9,14
67,r1a2_r2a5_r3a9_r4a15,2,5,9,15
68,r1a2_r2a5_r3a9_r4a16,2,5,9,16
69,r1a2_r2a5_r3a10_r4a13,2,5,10,13
70,r1a2_r2a5_r3a10_r4a14,2,5,10,14
71,r1a2_r2a5_r3a10_r4a15,2,5,10,15
72,r1a2_r2a5_r3a10_r4a16,2,5,10,16
73,r1a2_r2a5_r3a11_r4a13,2,5,11,13
74,r1a2_r2a5_r3a11_r4a14,2,5,11,14
75,r1a2_r2a5_r3a11_r4a15,2,5,11,15
76,r1a2_r2a5_r3a11_r4a16,2,5,11,16
77,r1a2_r2a5_r3a12_r4a13,2,5,12,13
78,r1a2_r2a5_r3a12_r4a14,2,5,12,14
79,r1a2_r2a5_r3a12_r4a15,2,5,12,15
80,r1a2_r2a5_r3a12_r4a16,2,5,12,16
81,r1a2_r2a6_r3a9_r4a13,2,6,9,13
82,r1a2_r2a6_r3a9_r4a14,2,6,9,14
83,r1a2_r2a6_r3a9_r4a15,2,6,9,15
84,r1a2_r2a6_r3a9_r4a16,2,6,9,16
85,r1a2_r2a6_r3a10_r4a13,2,6,10,13
86,r1a2_r2a6_r3a10_r4a14,2,6,10,14
87,r1a2_r2a6_r3a10_r4a15,2,6,10,15
88,r1a2_r2a6_r3a10_r4a16,2,6,10,16
89,r1a2_r2a6_r3a11_r4a13,2,6,11,13
90,r1a2_r2a6_r3a11_r4a14,2,6,11,14
91,r1a2_r2a6_r3a11_r4a15,2,6,11,15
92,r1a2_r2a6_r3a11_r4a16,2,6,11,16
93,r1a2_r2a6_r3a12_r4a13,2,6,12,13
94,r1a2_r2a6_r3a12_r4a14,2,6,12,14
95,r1a2_r2a6_r3a12_r4a15,2,6,12,15
96,r1a2_r2a6_r3a12_r4a16,2,6,12,16
97,r1a2_r2a7_r3a9_r4a13,2,7,9,13
98,r1a2_r2a7_r3a9_r4a14,2,7,9,14
99,r1a2_r2a7_r3a9_r4a15,2,7,9,15
100,r1a2_r2a7_r3a9_r4a16,2,7,9,16
101,r1a2_r2a7_r3a10_r4a13,2,7,10,13
102,r1a2_r2a7_r3a10_r4a14,2,7,10,14
103,r1a2_r2a7_r3a10_r4a15,2,7,10,15
104,r1a2_r2a7_r3a10_r4a16,2,7,10,16
105,r1a2_r2a7_r3a11_r4a13,2,7,11,13
106,r1a2_r2a7_r3a11_r4a14,2,7,11,14
107,r1a2_r2a7_r3a11_r4a15,2,7,11,15
108,r1a2_r2a7_r3a11_r4a16,2,7,11,16
109,r1a2_r2a7_r3a12_r4a13,2,7,12,13
110,r1a2_r2a7_r3a12_r4a14,2,7,12,14
111,r1a2_r2a7_r3a12_r4a15,2,7,12,15
112,r1a2_r2a7_r3a12_r4a16,2,7,12,16
113,r1a2_r2a8_r3a9_r4a13,2,8,9,13
114,r1a2_r2a8_r3a9_r4a14,2,8,9,14
115,r1a2_r2a8_r3a9_r4a15,2,8,9,15
116,r1a2_r2a8_r3a9_r4a16,2,8,9,16
117,r1a2_r2a8_r3a10_r4a13,2,8,10,13
118,r1a2_r2a8_r3a10_r4a14,2,8,10,14
119,r1a2_r2a8_r3a10_r4a15,2,8,10,15
120,r1a2_r2a8_r3a10_r4a16,2,8,10,16
121,r1a2_r2a8_r3a11_r4a13,2,8,11,13
122,r1a2_r2a8_r3a11_r4a14,2,8,11,14
123,r1a2_r2a8_r3a11_r4a15,2,8,11,15
124,r1a2_r2a8_r3a11_r4a16,2,8,11,16
125,r1a2_r2a8_r3a12_r4a13,2,8,12,13
126,r1a2_r2a8_r3a12_r4a14,2,8,12,14
127,r1a2_r2a8_r3a12_r4a15,2,8,12,15
128,r1a2_r2a8_r3a12_r4a16,2,8,12,16
129,r1a3_r2a5_r3a9_r4a13,3,5,9,13
130,r1a3_r2a5_r3a9_r4a14,3,5,9,14
131,r1a3_r2a5_r3a9_r4a15,3,5,9,15
132,r1a3_r2a5_r3a9_r4a16,3,5,9,16
133,r1a3_r2a5_r3a10_r4a13,3,5,10,13
134,r1a3_r2a5_r3a10_r4a14,3,5,10,14
135,r1a3_r2a5_r3a10_r4a15,3,5,10,15
136,r1a3_r2a5_r3a10_r4a16,3,5,10,16
137,r1a3_r2a5_r3a11_r4a13,3,5,11,13
138,r1a3_r2a5_r3a11_r4a14,3,5,11,14
139,r1a3_r2a5_r3a11_r4a15,3,5,11,15
140,r1a3_r2a5_r3a11_r4a16,3,5,11,16
141,r1a3_r2a5_r3a12_r4a13,3,5,12,13
142,r1a3_r2a5_r3a12_r4a14,3,5,12,14
143,r1a3_r2a5_r3a12_r4a15,3,5,12,15
144,r1a3_r2a5_r3a12_r4a16,3,5,12,16
145,r1a3_r2a6_r3a9_r4a13,3,6,9,13
146,r1a3_r2a6_r3a9_r4a14,3,6,9,14
147,r1a3_r2a6_r3a9_r4a15,3,6,9,15
148,r1a3_r2a6_r3a9_r4a16,3,6,9,16
149,r1a3_r2a6_r3a10_r4a13,3,6,10,13
150,r1a3_r2a6_r3a10_r4a14,3,6,10,14
151,r1a3_r2a6_r3a10_r4a15,3,6,10,15
152,r1a3_r2a6_r3a10_r4a16,3,6,10,16
153,r1a3_r2a6_r3a11_r4a13,3,6,11,13
154,r1a3_r2a6_r3a11_r4a14,3,6,11,14
155,r1a3_r2a6_r3a11_r4a15,3,6,11,15
156,r1a3_r2a6_r3a11_r4a16,3,6,11,16
157,r1a3_r2a6_r3a12_r4a13,3,6,12,13
158,r1a3_r2a6_r3a12_r4a14,3,6,12,14
159,r1a3_r2a6_r3a12_r4a15,3,6,12,15
160,r1a3_r2a6_r3a12_r4a16,3,6,12,16
161,r1a3_r2a7_r3a9_r4a13,3,7,9,13
162,r1a3_r2a7_r3a9_r4a14,3,7,9,14
163,r1a3_r2a7_r3a9_r4a15,3,7,9,15
164,r1a3_r2a7_r3a9_r4a16,3,7,9,16
165,r1a3_r2a7_r3a10_r4a13,3,7,10,13
166,r1a3_r2a7_r3a10_r4a14,3,7,10,14
167,r1a3_r2a7_r3a10_r4a15,3,7,10,15
168,r1a3_r2a7_r3a10_r4a16,3,7,10,16
169,r1a3_r2a7_r3a11_r4a13,3,7,11,13
170,r1a3_r2a7_r3a11_r4a14,3,7,11,14
171,r1a3_r2a7_r3a11_r4a15,3,7,11,15
172,r1a3_r2a7_r3a11_r4a16,3,7,11,16
173,r1a3_r2a7_r3a12_r4a13,3,7,12,13
174,r1a3_r2a7_r3a12_r4a14,3,7,12,14
175,r1a3_r2a7_r3a12_r4a15,3,7,12,15
176,r1a3_r2a7_r3a12_r4a16,3,7,12,16
177,r1a3_r2a8_r3a9_r4a13,3,8,9,13
178,r1a3_r2a8_r3a9_r4a14,3,8,9,14
179,r1a3_r2a8_r3a9_r4a15,3,8,9,15
180,r1a3_r2a8_r3a9_r4a16,3,8,9,16
181,r1a3_r2a8_r3a10_r4a13,3,8,10,13
182,r1a3_r2a8_r3a10_r4a14,3,8,10,14
183,r1a3_r2a8_r3a10_r4a15,3,8,10,15
184,r1a3_r2a8_r3a10_r4a16,3,8,10,16
185,r1a3_r2a8_r3a11_r4a13,3,8,11,13
186,r1a3_r2a8_r3a11_r4a14,3,8,11,14
187,r1a3_r2a8_r3a11_r4a15,3,8,11,15
188,r1a3_r2a8_r3a11_r4a16,3,8,11,16
