scenario_id,scenario_code,role_id,archetype_id,option_id,utility
1,r1a1_r2a5_r3a9_r4a13,1,1,1,0.21
1,r1a1_r2a5_r3a9_r4a13,1,1,2,0.23
1,r1a1_r2a5_r3a9_r4a13,1,1,3,0.26
1,r1a1_r2a5_r3a9_r4a13,1,1,4,0.3
1,r1a1_r2a5_r3a9_r4a13,2,5,1,0.29
1,r1a1_r2a5_r3a9_r4a13,2,5,2,0.3
1,r1a1_r2a5_r3a9_r4a13,2,5,3,0.25
1,r1a1_r2a5_r3a9_r4a13,2,5,4,0.23
1,r1a1_r2a5_r3a9_r4a13,3,9,1,0.23
1,r1a1_r2a5_r3a9_r4a13,3,9,2,0.21
1,r1a1_r2a5_r3a9_r4a13,3,9,3,0.22
1,r1a1_r2a5_r3a9_r4a13,3,9,4,0.26
1,r1a1_r2a5_r3a9_r4a13,4,13,1,0.26
1,r1a1_r2a5_r3a9_r4a13,4,13,2,0.27
1,r1a1_r2a5_r3a9_r4a13,4,13,3,0.29
1,r1a1_r2a5_r3a9_r4a13,4,13,4,0.23
2,r1a1_r2a5_r3a9_r4a14,1,1,1,0.21
2,r1a1_r2a5_r3a9_r4a14,1,1,2,0.23
2,r1a1_r2a5_r3a9_r4a14,1,1,3,0.26
2,r1a1_r2a5_r3a9_r4a14,1,1,4,0.3
2,r1a1_r2a5_r3a9_r4a14,2,5,1,0.29
2,r1a1_r2a5_r3a9_r4a14,2,5,2,0.3
2,r1a1_r2a5_r3a9_r4a14,2,5,3,0.25
2,r1a1_r2a5_r3a9_r4a14,2,5,4,0.23
2,r1a1_r2a5_r3a9_r4a14,3,9,1,0.23
2,r1a1_r2a5_r3a9_r4a14,3,9,2,0.21
2,r1a1_r2a5_r3a9_r4a14,3,9,3,0.22
2,r1a1_r2a5_r3a9_r4a14,3,9,4,0.26
2,r1a1_r2a5_r3a9_r4a14,4,14,1,0.24
2,r1a1_r2a5_r3a9_r4a14,4,14,2,0.27
2,r1a1_r2a5_r3a9_r4a14,4,14,3,0.29
2,r1a1_r2a5_r3a9_r4a14,4,14,4,0.27
3,r1a1_r2a5_r3a9_r4a15,1,1,1,0.21
3,r1a1_r2a5_r3a9_r4a15,1,1,2,0.23
3,r1a1_r2a5_r3a9_r4a15,1,1,3,0.26
3,r1a1_r2a5_r3a9_r4a15,1,1,4,0.3
3,r1a1_r2a5_r3a9_r4a15,2,5,1,0.29
3,r1a1_r2a5_r3a9_r4a15,2,5,2,0.3
3,r1a1_r2a5_r3a9_r4a15,2,5,3,0.25
3,r1a1_r2a5_r3a9_r4a15,2,5,4,0.23
3,r1a1_r2a5_r3a9_r4a15,3,9,1,0.23
3,r1a1_r2a5_r3a9_r4a15,3,9,2,0.21
3,r1a1_r2a5_r3a9_r4a15,3,9,3,0.22
3,r1a1_r2a5_r3a9_r4a15,3,9,4,0.26
3,r1a1_r2a5_r3a9_r4a15,4,15,1,0.23
3,r1a1_r2a5_r3a9_r4a15,4,15,2,0.21
3,r1a1_r2a5_r3a9_r4a15,4,15,3,0.22
3,r1a1_r2a5_r3a9_r4a15,4,15,4,0.26
4,r1a1_r2a5_r3a9_r4a16,1,1,1,0.21
4,r1a1_r2a5_r3a9_r4a16,1,1,2,0.23
4,r1a1_r2a5_r3a9_r4a16,1,1,3,0.26
4,r1a1_r2a5_r3a9_r4a16,1,1,4,0.3
4,r1a1_r2a5_r3a9_r4a16,2,5,1,0.29
4,r1a1_r2a5_r3a9_r4a16,2,5,2,0.3
4,r1a1_r2a5_r3a9_r4a16,2,5,3,0.25
4,r1a1_r2a5_r3a9_r4a16,2,5,4,0.23
4,r1a1_r2a5_r3a9_r4a16,3,9,1,0.23
4,r1a1_r2a5_r3a9_r4a16,3,9,2,0.21
4,r1a1_r2a5_r3a9_r4a16,3,9,3,0.22
4,r1a1_r2a5_r3a9_r4a16,3,9,4,0.26
4,r1a1_r2a5_r3a9_r4a16,4,16,1,0.21
4,r1a1_r2a5_r3a9_r4a16,4,16,2,0.2
4,r1a1_r2a5_r3a9_r4a16,4,16,3,0.25
4,r1a1_r2a5_r3a9_r4a16,4,16,4,0.27
5,r1a1_r2a5_r3a10_r4a13,1,1,1,0.21
5,r1a1_r2a5_r3a10_r4a13,1,1,2,0.23
5,r1a1_r2a5_r3a10_r4a13,1,1,3,0.26
5,r1a1_r2a5_r3a10_r4a13,1,1,4,0.3
5,r1a1_r2a5_r3a10_r4a13,2,5,1,0.29
5,r1a1_r2a5_r3a10_r4a13,2,5,2,0.3
5,r1a1_r2a5_r3a10_r4a13,2,5,3,0.25
5,r1a1_r2a5_r3a10_r4a13,2,5,4,0.23
5,r1a1_r2a5_r3a10_r4a13,3,10,1,0.2
5,r1a1_r2a5_r3a10_r4a13,3,10,2,0.21
5,r1a1_r2a5_r3a10_r4a13,3,10,3,0.27
5,r1a1_r2a5_r3a10_r4a13,3,10,4,0.29
5,r1a1_r2a5_r3a10_r4a13,4,13,1,0.26
5,r1a1_r2a5_r3a10_r4a13,4,13,2,0.27
5,r1a1_r2a5_r3a10_r4a13,4,13,3,0.29
5,r1a1_r2a5_r3a10_r4a13,4,13,4,0.23
6,r1a1_r2a5_r3a10_r4a14,1,1,1,0.21
6,r1a1_r2a5_r3a10_r4a14,1,1,2,0.23
6,r1a1_r2a5_r3a10_r4a14,1,1,3,0.26
6,r1a1_r2a5_r3a10_r4a14,1,1,4,0.3
